Title,Author,Journal,Year of publication,Citation,DOI,PMCID,URL
Microbial Vaginosis and its Relation to Single or Multi-Species Biofilm in Iraqi Women: Clinical and Microbiological Study.,Murshid RM,Pak J Biol Sci,2024,"Murshid RM, et al. Microbial Vaginosis and its Relation to Single or Multi-Species Biofilm in Iraqi Women: Clinical and Microbiological Study. Microbial Vaginosis and its Relation to Single or Multi-Species Biofilm in Iraqi Women: Clinical and Microbiological Study. 2024; 27:404-412. doi: 10.3923/pjbs.2024.404.412",10.3923/pjbs.2024.404.412,,https://ncbi.nlm.nih.gov/pubmed/39300677
Forecasting the Effects of Platelet-Rich Plasma on Follicle Development Following Premature Ovarian Insufficiency by Network Interaction Analysis.,Silvia R,Pak J Biol Sci,2024,"Silvia R, et al. Forecasting the Effects of Platelet-Rich Plasma on Follicle Development Following Premature Ovarian Insufficiency by Network Interaction Analysis. Forecasting the Effects of Platelet-Rich Plasma on Follicle Development Following Premature Ovarian Insufficiency by Network Interaction Analysis. 2024; 27:384-397. doi: 10.3923/pjbs.2024.384.397",10.3923/pjbs.2024.384.397,,https://ncbi.nlm.nih.gov/pubmed/39300675
Creation of a Neovagina with Single Staged Uterine Anastomosis.,Khan A,CRSLS,2024,"Khan A, et al. Creation of a Neovagina with Single Staged Uterine Anastomosis. Creation of a Neovagina with Single Staged Uterine Anastomosis. 2024; 11:(unknown pages). doi: 10.4293/CRSLS.2024.00014",10.4293/CRSLS.2024.00014,11407546,https://ncbi.nlm.nih.gov/pubmed/39296515
Angiogenic factor-driven improvement of refractory thin endometrium with autologous platelet-rich plasma intrauterine infusion in frozen embryo transfer cycles.,Shin SY,Front Endocrinol (Lausanne),2024,"Shin SY, et al. Angiogenic factor-driven improvement of refractory thin endometrium with autologous platelet-rich plasma intrauterine infusion in frozen embryo transfer cycles. Angiogenic factor-driven improvement of refractory thin endometrium with autologous platelet-rich plasma intrauterine infusion in frozen embryo transfer cycles. 2024; 15:1431453. doi: 10.3389/fendo.2024.1431453",10.3389/fendo.2024.1431453,11405219,https://ncbi.nlm.nih.gov/pubmed/39290323
Effect of pH and neutrophil count on the motility and persistence of spermatozoa in the vagina of candidiasis rat models.,Iswara RA,Narra J,2024,"Iswara RA, et al. Effect of pH and neutrophil count on the motility and persistence of spermatozoa in the vagina of candidiasis rat models. Effect of pH and neutrophil count on the motility and persistence of spermatozoa in the vagina of candidiasis rat models. 2024; 4:e823. doi: 10.52225/narra.v4i2.823",10.52225/narra.v4i2.823,11391961,https://ncbi.nlm.nih.gov/pubmed/39280289
Comprehensive management of Mayer-Rokitansky-Küster-Hauser syndrome management: A case report.,Mishra S,Narra J,2024,"Mishra S, et al. Comprehensive management of Mayer-Rokitansky-Küster-Hauser syndrome management: A case report. Comprehensive management of Mayer-Rokitansky-Küster-Hauser syndrome management: A case report. 2024; 4:e755. doi: 10.52225/narra.v4i2.755",10.52225/narra.v4i2.755,11391953,https://ncbi.nlm.nih.gov/pubmed/39280286
Social Environment Alters the Duration of Rapid Yolk Deposition in Eggs of Domestic Hens.,Dean CR,Ecol Evol Physiol,2024,"Dean CR, et al. Social Environment Alters the Duration of Rapid Yolk Deposition in Eggs of Domestic Hens. Social Environment Alters the Duration of Rapid Yolk Deposition in Eggs of Domestic Hens. 2024; 97:220-229. doi: 10.1086/732020",10.1086/732020,,https://ncbi.nlm.nih.gov/pubmed/39270326
Peak amplitude of the normalized power spectrum of the electromyogram of the uterus in the low frequency band is an effective predictor of premature birth.,Pirnar Ž,PLoS One,2024,"Pirnar Ž, et al. Peak amplitude of the normalized power spectrum of the electromyogram of the uterus in the low frequency band is an effective predictor of premature birth. Peak amplitude of the normalized power spectrum of the electromyogram of the uterus in the low frequency band is an effective predictor of premature birth. 2024; 19:e0308797. doi: 10.1371/journal.pone.0308797",10.1371/journal.pone.0308797,11392270,https://ncbi.nlm.nih.gov/pubmed/39264880
Semaglutide Alleviates Ovary Inflammation via the AMPK/SIRT1/NF‑κB Signaling Pathway in Polycystic Ovary Syndrome Mice.,Liu M,Drug Des Devel Ther,2024,"Liu M, et al. Semaglutide Alleviates Ovary Inflammation via the AMPK/SIRT1/NF‑κB Signaling Pathway in Polycystic Ovary Syndrome Mice. Semaglutide Alleviates Ovary Inflammation via the AMPK/SIRT1/NF‑κB Signaling Pathway in Polycystic Ovary Syndrome Mice. 2024; 18:3925-3938. doi: 10.2147/DDDT.S484531",10.2147/DDDT.S484531,11380913,https://ncbi.nlm.nih.gov/pubmed/39247793
Cesarean section incision along the posterior uterine wall - an obstetric and surgical complication of an obstructed pelvis due to previous endometriosis.,Meloni P,Ceska Gynekol,2024,"Meloni P, et al. Cesarean section incision along the posterior uterine wall - an obstetric and surgical complication of an obstructed pelvis due to previous endometriosis. Cesarean section incision along the posterior uterine wall - an obstetric and surgical complication of an obstructed pelvis due to previous endometriosis. 2024; 89:304-308. doi: 10.48095/cccg2024304",10.48095/cccg2024304,,https://ncbi.nlm.nih.gov/pubmed/39242206
